PreviousTask PreviousTrain NextTask NextTrain AtLocation Day
D 14632 - - Lls 1
D 4322 P 725 Alm 1
D 1714 D 7916 Hgl 1
- - D 1714 Hgl 1
D 3527 D 2826 Ut 1
D 519 D 3518 Ut 1
D 6014 D 519 Ut 1
D 5008 D 519 Rtd 1
- - D 5008 Rtd 1
D 3028 - - Amr 1
D 4019 P 2617 Asd 1
- - D 4019 Asd 1
D 1739 - - Ut 1
D 2037 D 1739 Ut 1
D 4324 P 1824 Alm 1
D 2623 D 4324 Alm 1
D 9630 D 3529 Ehv 1
D 36 - - Zp 1
D 76 D 36 Zp 1
D 830 P 833 Ht 1
D 828 D 830 Ehv 1
D 52 D 828 Ehv 1
D 22 D 2216 Rsd 1
- - D 22 Rsd 1
D 1816 D 1815 Zl 1
- - D 1816 Zl 1
D 1714 D 5619 Ut 1
- - D 1714 Ut 1
D 818 D 13515 Ehv 1
D 11728 D 2830 Ut 1
D 4927 D 11728 Ut 1
D 516 D 8115 Zl 1
- - D 516 Zl 1
D 15834 - - Amf 1
D 2212 D 2227 Rtd 1
D 512 D 2212 Rtd 1
D 833 D 3532 Ut 1
D 78 D 833 Ut 1
D 30 D 833 Asd 1
D 5418 D 30 Asd 1
D 3026 P 3026 Asd 1
D 527 D 3026 Ut 1
D 35 D 135 Ehv 1
D 629 D 35 Ut 1
D 818 D 618 Ut 1
- - D 818 Ut 1
D 9616 D 818 Ehv 1
P 9616 D 9616 Ehv 1
D 4039 - - Asd 1
D 7426 D 4039 Asd 1
D 3320 D 45 Hn 1
D 4823 D 3320 Hn 1
D 3638 - - Ht 1
- - D 3638 Ht 1
D 22 D 3638 Rsd 1
P 2220 D 22 Rsd 1
D 618 D 7917 Zl 1
- - D 618 Zl 1
D 1742 P 3647 Dv 1
D 1828 D 7927 Zl 1
D 7926 D 1828 Zl 1
D 7327 D 4930 Ut 1
D 7825 D 7327 Ut 1
D 6 D 7318 Ut 1
D 6016 D 6 Ut 1
D 2437 - - Rtd 1
D 524 D 2437 Rtd 1
D 14623 D 2437 Lls 1
- - D 14623 Lls 1
D 3529 D 13529 Ehv 1
D 828 D 3529 Ht 1
P 826 D 828 Ht 1
D 11729 D 69 Ut 1
D 5520 D 11729 Ut 1
D 2225 P 5016 Rtd 1
D 7712 D 2225 Rtd 1
D 73314 P 73314 Gv 1
D 90058 D 73314 Gv 1
D 7029 D 17 Dv 1
D 7028 D 7030 Dv 1
D 1616 D 7015 Dv 1
P 1616 D 1616 Dv 1
D 837 P 4532 Asd 1
D 15828 D 837 Asd 1
D 3035 D 837 Amr 1
D 73435 D 3035 Amr 1
D 3642 - - Nm 1
D 31 D 3642 Nm 1
D 2226 D 3642 Rsd 1
D 5933 D 2226 Rsd 1
D 3032 P 3637 Ah 1
D 4428 D 3032 Ah 1
D 3027 D 3129 Ah 1
D 3520 D 3027 Ut 1
D 834 D 3538 Ehv 1
- - D 834 Ehv 1
D 524 D 828 Ut 1
D 2029 D 524 Ut 1
D 833 - - Ehv 1
D 54 D 2116 Hlm 1
D 3427 D 54 Hlm 1
D 14525 D 4820 Hn 1
P 4819 D 14525 Hn 1
D 3319 P 80350 Hn 1
- - D 3319 Hn 1
D 7643 - - Ah 1
D 31 D 7633 Ah 1
D 3022 D 31 Ut 1
D 5620 D 3022 Ut 1
D 3029 D 3435 Amr 1
- - D 3029 Amr 1
D 30 P 3010 Amr 1
D 80358 D 30 Amr 1
D 3026 D 3626 Ah 1
D 30 D 3123 Ah 1
D 4327 P 2420 Alm 1
D 80012 D 80014 Lls 1
- - D 80012 Lls 1
D 820 D 2135 Asd 1
P 820 D 820 Asd 1
D 1718 D 820 Ut 1
P 1718 D 1718 Ut 1
D 1628 D 11630 Amf 1
D 633 D 1534 Amf 1
P 633 D 633 Amf 1
D 35 D 633 Ut 1
D 1723 D 3522 Ut 1
D 2023 D 1723 Ut 1
D 15832 D 5632 Amf 1
D 15 D 15832 Amf 1
D 4025 D 5818 Asd 1
D 5408 D 4025 Asd 1
D 3645 - - Zp 1
- - D 3645 Zp 1
D 7032 P 7923 Hgl 1
D 3529 P 35 Ht 1
D 3518 D 3520 Ut 1
D 3032 - - Amr 1
D 832 D 3032 Amr 1
D 40 D 3032 Asd 1
D 8 D 2818 Ut 1
D 5717 D 8 Ut 1
D 4835 P 4835 Amr 1
D 4033 D 4835 Asd 1
D 2622 D 4033 Asd 1
D 4824 D 3024 Amr 1
D 45 D 4824 Hn 1
D 3019 D 4516 Asd 1
- - D 3019 Asd 1
D 7639 - - Ah 1
D 3626 P 3626 Ah 1
D 2229 P 5422 Hlm 1
D 2229 P 2229 Rsd 1
D 12229 D 2229 Rsd 1
D 1734 P 539 Ut 1
D 6137 D 1734 Ut 1
D 524 P 524 Zl 1
D 14619 D 524 Zl 1
D 1727 D 6929 Ut 1
- - D 1727 Ut 1
D 839 P 3539 Std 1
D 3522 D 822 Ehv 1
