"TrafficDate","Trainseries","TrainCharacteristic","Trainnumber","Location","Activity","PlannedTime","Realisation","Delay_min","DelayJump"
"2017-11-07","500E","IC",512,"Ut","V",2017-11-07 06:18:00,2017-11-07 06:18:16,0,0
"2017-11-07","500E","IC",512,"Utwa","D",2017-11-07 06:19:00,2017-11-07 06:20:26,1,1
"2017-11-07","500E","IC",512,"Utlr","D",2017-11-07 06:20:00,2017-11-07 06:21:55,1,0
"2017-11-07","500E","IC",512,"Utt","D",2017-11-07 06:21:00,2017-11-07 06:22:54,1,0
"2017-11-07","500E","IC",512,"Vtn","D",2017-11-07 06:22:00,2017-11-07 06:23:53,1,0
"2017-11-07","500E","IC",512,"Hmlva","D",2017-11-07 06:23:00,2017-11-07 06:24:51,1,0
"2017-11-07","500E","IC",512,"Hmla","D",2017-11-07 06:25:00,2017-11-07 06:25:59,0,-1
"2017-11-07","500E","IC",512,"Wd","D",2017-11-07 06:26:00,2017-11-07 06:27:50,1,1
"2017-11-07","500E","IC",512,"Wdo","D",2017-11-07 06:27:00,2017-11-07 06:28:41,1,0
"2017-11-07","500E","IC",512,"Odo","D",2017-11-07 06:30:00,2017-11-07 06:31:19,1,0
"2017-11-07","500E","IC",512,"Odw","D",2017-11-07 06:30:00,2017-11-07 06:31:59,1,0
"2017-11-07","500E","IC",512,"Gdg","D",2017-11-07 06:33:00,2017-11-07 06:34:40,1,0
"2017-11-07","500E","IC",512,"Gd","A",2017-11-07 06:36:00,2017-11-07 06:37:12,1,0
"2017-11-07","500E","IC",512,"Gd","V",2017-11-07 06:37:00,2017-11-07 06:38:53,1,0
"2017-11-07","500E","IC",512,"Hgwbr","D",2017-11-07 06:38:00,2017-11-07 06:40:11,2,1
"2017-11-07","500E","IC",512,"Mda","D",2017-11-07 06:39:00,2017-11-07 06:40:56,1,-1
"2017-11-07","500E","IC",512,"Mdo","D",2017-11-07 06:39:00,2017-11-07 06:41:31,2,1
"2017-11-07","500E","IC",512,"Nwki","D",2017-11-07 06:42:00,2017-11-07 06:43:49,1,-1
"2017-11-07","500E","IC",512,"Nwk","D",2017-11-07 06:42:00,2017-11-07 06:44:26,2,1
"2017-11-07","500E","IC",512,"Cps","D",2017-11-07 06:44:00,2017-11-07 06:46:17,2,0
"2017-11-07","500E","IC",512,"Rta","K_A",2017-11-07 06:45:12,2017-11-07 06:48:26,3,1
"2017-11-07","500E","IC",512,"Rta","K_V",2017-11-07 06:46:00,2017-11-07 06:49:10,3,0
"2017-11-07","500E","IC",512,"Rtngo","D",2017-11-07 06:48:00,2017-11-07 06:51:19,3,0
"2017-11-07","500E","IC",512,"Rtngw","D",2017-11-07 06:49:00,2017-11-07 06:51:57,2,-1
"2017-11-07","500E","IC",512,"Rtn","D",2017-11-07 06:50:00,2017-11-07 06:53:00,3,1
"2017-11-07","500E","IC",512,"Hlba","D",2017-11-07 06:51:00,2017-11-07 06:53:35,2,-1
"2017-11-07","500E","IC",512,"Az","D",2017-11-07 06:51:00,2017-11-07 06:54:02,3,1
"2017-11-07","500E","IC",512,"Wspl","D",2017-11-07 06:52:00,2017-11-07 06:55:20,3,0
"2017-11-07","500E","IC",512,"Rtd","A",2017-11-07 06:55:00,2017-11-07 06:58:20,3,0
"2017-11-07","500E","IC",516,"Ddv","D",2017-11-07 06:06:00,2017-11-07 06:06:42,0,0
"2017-11-07","500E","IC",516,"Hea","D",2017-11-07 06:11:00,2017-11-07 06:11:34,0,0
"2017-11-07","500E","IC",516,"Zlgea","D",2017-11-07 06:13:00,2017-11-07 06:13:37,0,0
"2017-11-07","500E","IC",516,"Zl","A",2017-11-07 06:15:00,2017-11-07 06:15:56,0,0
"2017-11-07","500E","IC",516,"Zl","V",2017-11-07 06:20:00,2017-11-07 06:20:09,0,0
"2017-11-07","500E","IC",516,"Zlptta","D",2017-11-07 06:21:00,2017-11-07 06:21:50,0,0
"2017-11-07","500E","IC",516,"Zlra","D",2017-11-07 06:22:00,2017-11-07 06:22:32,0,0
"2017-11-07","500E","IC",516,"Htba","D",2017-11-07 06:23:00,2017-11-07 06:23:35,0,0
"2017-11-07","500E","IC",516,"Hde","D",2017-11-07 06:30:00,2017-11-07 06:29:59,0,0
"2017-11-07","500E","IC",516,"Ns","D",2017-11-07 06:33:00,2017-11-07 06:33:38,0,0
"2017-11-07","500E","IC",516,"Hd","D",2017-11-07 06:39:00,2017-11-07 06:39:01,0,0
"2017-11-07","500E","IC",516,"Eml","D",2017-11-07 06:41:00,2017-11-07 06:41:14,0,0
"2017-11-07","500E","IC",516,"Pt","D",2017-11-07 06:44:00,2017-11-07 06:43:17,0,0
"2017-11-07","500E","IC",516,"Nkk","D",2017-11-07 06:47:00,2017-11-07 06:46:27,0,0
"2017-11-07","500E","IC",516,"Avat","D",2017-11-07 06:49:00,2017-11-07 06:49:09,0,0
"2017-11-07","500E","IC",516,"Amfs","D",2017-11-07 06:51:00,2017-11-07 06:50:55,0,0
"2017-11-07","500E","IC",516,"Ama","D",2017-11-07 06:52:00,2017-11-07 06:51:42,0,0
"2017-11-07","500E","IC",516,"Amf","A",2017-11-07 06:55:00,2017-11-07 06:54:38,0,0
"2017-11-07","500E","IC",516,"Amf","V",2017-11-07 06:58:00,2017-11-07 06:58:22,0,0
"2017-11-07","500E","IC",516,"Amfva","D",2017-11-07 07:00:00,2017-11-07 07:01:03,1,1
"2017-11-07","500E","IC",516,"Dld","D",2017-11-07 07:04:00,2017-11-07 07:04:30,0,-1
"2017-11-07","500E","IC",516,"Bhv","D",2017-11-07 07:05:00,2017-11-07 07:05:45,0,0
"2017-11-07","500E","IC",516,"Bloa","D",2017-11-07 07:07:00,2017-11-07 07:07:09,0,0
"2017-11-07","500E","IC",516,"Uto","D",2017-11-07 07:08:00,2017-11-07 07:08:32,0,0
"2017-11-07","500E","IC",516,"Ut","A",2017-11-07 07:12:00,2017-11-07 07:11:13,0,0
"2017-11-07","500E","IC",516,"Ut","V",2017-11-07 07:18:00,2017-11-07 07:18:04,0,0
"2017-11-07","500E","IC",516,"Utwa","D",2017-11-07 07:19:00,2017-11-07 07:19:50,0,0
"2017-11-07","500E","IC",516,"Utlr","D",2017-11-07 07:20:00,2017-11-07 07:20:59,0,0
"2017-11-07","500E","IC",516,"Utt","D",2017-11-07 07:21:00,2017-11-07 07:21:48,0,0
"2017-11-07","500E","IC",516,"Vtn","D",2017-11-07 07:22:00,2017-11-07 07:23:02,1,1
"2017-11-07","500E","IC",516,"Hmlva","D",2017-11-07 07:23:00,2017-11-07 07:24:20,1,0
"2017-11-07","500E","IC",516,"Hmla","D",2017-11-07 07:25:00,2017-11-07 07:25:30,0,-1
"2017-11-07","500E","IC",516,"Wd","D",2017-11-07 07:26:00,2017-11-07 07:27:24,1,1
"2017-11-07","500E","IC",516,"Wdo","D",2017-11-07 07:27:00,2017-11-07 07:28:13,1,0
"2017-11-07","500E","IC",516,"Odo","D",2017-11-07 07:30:00,2017-11-07 07:30:52,0,-1
"2017-11-07","500E","IC",516,"Odw","D",2017-11-07 07:30:00,2017-11-07 07:31:30,1,1
"2017-11-07","500E","IC",516,"Gdg","D",2017-11-07 07:33:00,2017-11-07 07:34:05,1,0
"2017-11-07","500E","IC",516,"Gd","A",2017-11-07 07:36:00,2017-11-07 07:36:15,0,-1
"2017-11-07","500E","IC",516,"Gd","V",2017-11-07 07:37:00,2017-11-07 07:37:14,0,0
"2017-11-07","500E","IC",516,"Hgwbr","D",2017-11-07 07:38:00,2017-11-07 07:38:32,0,0
"2017-11-07","500E","IC",516,"Mda","D",2017-11-07 07:39:00,2017-11-07 07:39:17,0,0
"2017-11-07","500E","IC",516,"Mdo","D",2017-11-07 07:39:00,2017-11-07 07:39:52,0,0
"2017-11-07","500E","IC",516,"Nwki","D",2017-11-07 07:42:00,2017-11-07 07:41:50,0,0
"2017-11-07","500E","IC",516,"Nwk","D",2017-11-07 07:42:00,2017-11-07 07:42:18,0,0
"2017-11-07","500E","IC",516,"Cps","D",2017-11-07 07:44:00,2017-11-07 07:44:11,0,0
"2017-11-07","500E","IC",516,"Rta","K_A",2017-11-07 07:45:12,2017-11-07 07:46:58,1,1
"2017-11-07","500E","IC",516,"Rta","K_V",2017-11-07 07:46:00,2017-11-07 07:47:46,1,0
"2017-11-07","500E","IC",516,"Rtngo","D",2017-11-07 07:48:00,2017-11-07 07:49:37,1,0
"2017-11-07","500E","IC",516,"Rtngw","D",2017-11-07 07:49:00,2017-11-07 07:50:06,1,0
"2017-11-07","500E","IC",516,"Rtn","D",2017-11-07 07:50:00,2017-11-07 07:50:55,0,-1
"2017-11-07","500E","IC",516,"Hlba","D",2017-11-07 07:51:00,2017-11-07 07:51:22,0,0
"2017-11-07","500E","IC",516,"Az","D",2017-11-07 07:51:00,2017-11-07 07:51:47,0,0
"2017-11-07","500E","IC",516,"Wspl","D",2017-11-07 07:52:00,2017-11-07 07:53:15,1,1
"2017-11-07","500E","IC",516,"Rtd","A",2017-11-07 07:55:00,2017-11-07 07:56:27,1,0
"2017-11-07","500E","IC",520,"Gn","V",2017-11-07 06:04:00,2017-11-07 06:04:08,0,0
"2017-11-07","500E","IC",520,"Gerp","K_A",2017-11-07 06:06:12,2017-11-07 06:07:19,1,1
"2017-11-07","500E","IC",520,"Gerp","K_V",2017-11-07 06:07:00,2017-11-07 06:08:05,1,0
"2017-11-07","500E","IC",520,"Gnl","D",2017-11-07 06:08:00,2017-11-07 06:09:00,1,0
"2017-11-07","500E","IC",520,"Hrn","K_A",2017-11-07 06:12:12,2017-11-07 06:12:27,0,-1
"2017-11-07","500E","IC",520,"Hrn","K_V",2017-11-07 06:13:00,2017-11-07 06:13:21,0,0
"2017-11-07","500E","IC",520,"Onn","D",2017-11-07 06:14:00,2017-11-07 06:14:48,0,0
"2017-11-07","500E","IC",520,"Onz","D",2017-11-07 06:16:00,2017-11-07 06:16:31,0,0
"2017-11-07","500E","IC",520,"Asn","K_A",2017-11-07 06:25:12,2017-11-07 06:26:10,0,0
"2017-11-07","500E","IC",520,"Asn","K_V",2017-11-07 06:26:00,2017-11-07 06:27:08,1,1
"2017-11-07","500E","IC",520,"Bl","K_A",2017-11-07 06:35:12,2017-11-07 06:37:00,1,0
"2017-11-07","500E","IC",520,"Bl","K_V",2017-11-07 06:36:00,2017-11-07 06:37:59,1,0
"2017-11-07","500E","IC",520,"Vama","D",2017-11-07 06:42:00,2017-11-07 06:43:58,1,0
"2017-11-07","500E","IC",520,"Hgv","K_A",2017-11-07 06:45:12,2017-11-07 06:47:13,2,1
"2017-11-07","500E","IC",520,"Hgv","K_V",2017-11-07 06:46:00,2017-11-07 06:48:15,2,0
"2017-11-07","500E","IC",520,"Kg","D",2017-11-07 06:53:00,2017-11-07 06:54:37,1,-1
"2017-11-07","500E","IC",520,"Mpa","D",2017-11-07 06:57:00,2017-11-07 06:58:56,1,0
"2017-11-07","500E","IC",520,"Mp","K_A",2017-11-07 06:58:12,2017-11-07 07:00:07,1,0
"2017-11-07","500E","IC",520,"Mp","K_V",2017-11-07 06:59:00,2017-11-07 07:01:04,2,1
"2017-11-07","500E","IC",520,"Ddv","D",2017-11-07 07:06:00,2017-11-07 07:08:01,2,0
"2017-11-07","500E","IC",520,"Hea","D",2017-11-07 07:11:00,2017-11-07 07:12:46,1,-1
"2017-11-07","500E","IC",520,"Zlgea","D",2017-11-07 07:13:00,2017-11-07 07:14:33,1,0
"2017-11-07","500E","IC",520,"Zl","A",2017-11-07 07:15:00,2017-11-07 07:16:56,1,0
"2017-11-07","500E","IC",520,"Zl","V",2017-11-07 07:20:00,2017-11-07 07:20:47,0,-1
"2017-11-07","500E","IC",520,"Zlptta","D",2017-11-07 07:21:00,2017-11-07 07:22:58,1,1
"2017-11-07","500E","IC",520,"Zlra","D",2017-11-07 07:22:00,2017-11-07 07:23:48,1,0
"2017-11-07","500E","IC",520,"Htba","D",2017-11-07 07:23:00,2017-11-07 07:24:49,1,0
"2017-11-07","500E","IC",520,"Hde","D",2017-11-07 07:30:00,2017-11-07 07:31:10,1,0
"2017-11-07","500E","IC",520,"Ns","D",2017-11-07 07:33:00,2017-11-07 07:34:42,1,0
"2017-11-07","500E","IC",520,"Hd","D",2017-11-07 07:39:00,2017-11-07 07:39:59,0,-1
"2017-11-07","500E","IC",520,"Eml","D",2017-11-07 07:41:00,2017-11-07 07:42:12,1,1
"2017-11-07","500E","IC",520,"Pt","D",2017-11-07 07:44:00,2017-11-07 07:44:15,0,-1
"2017-11-07","500E","IC",520,"Nkk","D",2017-11-07 07:47:00,2017-11-07 07:47:24,0,0
"2017-11-07","500E","IC",520,"Avat","D",2017-11-07 07:49:00,2017-11-07 07:49:55,0,0
"2017-11-07","500E","IC",520,"Amfs","D",2017-11-07 07:51:00,2017-11-07 07:52:16,1,1
"2017-11-07","500E","IC",520,"Ama","D",2017-11-07 07:52:00,2017-11-07 07:53:05,1,0
"2017-11-07","500E","IC",520,"Amf","A",2017-11-07 07:55:00,2017-11-07 07:58:37,3,2
"2017-11-07","500E","IC",520,"Amf","V",2017-11-07 07:58:00,2017-11-07 07:59:52,1,-2
"2017-11-07","500E","IC",524,"Gn","V",2017-11-07 07:16:00,2017-11-07 07:16:06,0,0
"2017-11-07","500E","IC",524,"Gerp","D",2017-11-07 07:18:00,2017-11-07 07:18:43,0,0
"2017-11-07","500E","IC",524,"Gnl","D",2017-11-07 07:19:00,2017-11-07 07:19:09,0,0
"2017-11-07","500E","IC",524,"Hrn","D",2017-11-07 07:21:00,2017-11-07 07:21:12,0,0
"2017-11-07","500E","IC",524,"Onn","D",2017-11-07 07:22:00,2017-11-07 07:21:43,0,0
"2017-11-07","500E","IC",524,"Onz","D",2017-11-07 07:23:00,2017-11-07 07:23:06,0,0
"2017-11-07","500E","IC",524,"Asn","A",2017-11-07 07:34:00,2017-11-07 07:32:26,-1,-1
"2017-11-07","500E","IC",524,"Asn","V",2017-11-07 07:35:00,2017-11-07 07:35:25,0,1
"2017-11-07","500E","IC",524,"Bl","D",2017-11-07 07:43:00,2017-11-07 07:42:59,0,0
"2017-11-07","500E","IC",524,"Vama","D",2017-11-07 07:47:00,2017-11-07 07:47:05,0,0
"2017-11-07","500E","IC",524,"Hgv","D",2017-11-07 07:49:00,2017-11-07 07:49:21,0,0
"2017-11-07","500E","IC",524,"Kg","D",2017-11-07 07:55:00,2017-11-07 07:54:47,0,0
"2017-11-07","500E","IC",524,"Mpa","D",2017-11-07 07:59:00,2017-11-07 07:59:43,0,0
"2017-11-07","500O","IC",511,"Mp","K_A",2017-11-07 05:59:12,2017-11-07 06:00:33,1,0
"2017-11-07","500O","IC",511,"Mp","K_V",2017-11-07 06:00:00,2017-11-07 06:01:03,1,0
"2017-11-07","500O","IC",511,"Mpa","D",2017-11-07 06:01:00,2017-11-07 06:01:57,0,-1
"2017-11-07","500O","IC",511,"Kg","D",2017-11-07 06:06:00,2017-11-07 06:05:58,0,0
"2017-11-07","500O","IC",511,"Hgv","K_A",2017-11-07 06:12:12,2017-11-07 06:11:51,0,0
"2017-11-07","500O","IC",511,"Hgv","K_V",2017-11-07 06:13:00,2017-11-07 06:12:47,0,0
"2017-11-07","500O","IC",511,"Vama","D",2017-11-07 06:16:00,2017-11-07 06:16:24,0,0
"2017-11-07","500O","IC",511,"Bl","K_A",2017-11-07 06:22:12,2017-11-07 06:21:48,0,0
"2017-11-07","500O","IC",511,"Bl","K_V",2017-11-07 06:23:00,2017-11-07 06:23:15,0,0
"2017-11-07","500O","IC",511,"Asn","A",2017-11-07 06:33:00,2017-11-07 06:33:31,0,0
"2017-11-07","500O","IC",511,"Asn","V",2017-11-07 06:36:00,2017-11-07 06:36:01,0,0
"2017-11-07","500O","IC",511,"Onz","D",2017-11-07 06:45:00,2017-11-07 06:45:38,0,0
"2017-11-07","500O","IC",511,"Onn","D",2017-11-07 06:47:00,2017-11-07 06:47:26,0,0
"2017-11-07","500O","IC",511,"Hrn","K_A",2017-11-07 06:48:12,2017-11-07 06:48:44,0,0
"2017-11-07","500O","IC",511,"Hrn","K_V",2017-11-07 06:49:00,2017-11-07 06:49:27,0,0
"2017-11-07","500O","IC",511,"Gnl","D",2017-11-07 06:52:00,2017-11-07 06:52:41,0,0
"2017-11-07","500O","IC",511,"Gerp","K_A",2017-11-07 06:53:12,2017-11-07 06:53:38,0,0
"2017-11-07","500O","IC",511,"Gerp","K_V",2017-11-07 06:54:00,2017-11-07 06:54:41,0,0
"2017-11-07","500O","IC",511,"Gn","A",2017-11-07 06:57:00,2017-11-07 06:58:05,1,1
"2017-11-07","500O","IC",515,"Zl","V",2017-11-07 06:45:00,2017-11-07 06:45:47,0,0
"2017-11-07","500O","IC",515,"Zlgea","D",2017-11-07 06:46:00,2017-11-07 06:47:38,1,1
"2017-11-07","500O","IC",515,"Hea","D",2017-11-07 06:48:00,2017-11-07 06:49:21,1,0
"2017-11-07","500O","IC",515,"Ddv","D",2017-11-07 06:53:00,2017-11-07 06:53:58,0,-1
"2017-11-07","500O","IC",515,"Mp","D",2017-11-07 06:59:00,2017-11-07 06:59:50,0,0
"2017-11-07","500O","IC",515,"Mpa","D",2017-11-07 07:00:00,2017-11-07 07:00:16,0,0
