"from","to","distance"
"Ods","Dgrw",0.3
"Dgrw","Asdma",1.9
"Asdma","Asdm",0.9
"Asdm","Asa",2.1
"Asa","Dvd",2.9
"Dvd","Dvaz",0.6
"Dvaz","Asb",0.9
"Asb","Ashd",2.1
"Ashd","Ac",2.1
"Ac","Aco",1.1
"Aco","Bkl",11.4
"Bkl","Bkla",0.4
"Bkla","Mas",4.8
"Mas","Utzl",5.2
"Utzl","Utma",0.7
"Utma","Ut",1.2
"Ut","Utvr",1.7
"Utvr","Utza",1.2
"Utza","Bnk",4.2
"Bnk","Db",4.5
"Db","Mrg",5.6
"Mrg","Mrn",2
"Mrn","Har",7
"Ed","Wf",8.8
"Wf","Otb",3.4
"Otb","Ahwa",2.7
"Ahwa","Ahb",0.6
"Ahb","Ah",1
"Ah","Ahp",1.3
"Ahp","Va",0.5
"Va","Ahp",0.5
"Ahp","Ah",1.3
"Ah","Ahb",1
"Ahb","Ahwa",0.6
"Ahwa","Otb",2.7
"Otb","Wf",3.4
"Wf","Ed",8.8
"Har","Mrn",7
"Mrn","Mrg",2
"Mrg","Db",5.6
"Db","Bnk",4.5
"Bnk","Utza",4.2
"Utza","Utvr",1.2
"Utvr","Ut",1.7
"Ut","Utzl",2
"Utzl","Mas",5.2
"Mas","Bkla",4.8
"Bkla","Bkl",0.4
"Bkl","Aco",11.4
"Aco","Ac",1.1
"Ac","Ashd",2.1
"Ashd","Asb",2.1
"Asb","Dvaz",0.9
"Dvaz","Dvd",0.6
"Dvd","Asa",2.9
"Asa","Asdm",2.1
"Asdm","Asdma",0.9
"Asdma","Dgrw",1.9
"Dgrw","Ods",0.3
"Ods","Asd",0.8
"Dgrw","Dgok",0.7
"Dgok","Dgro",0.8
"Dgro","Asdma",0.4
"Asdma","Asdmw",0.5
"Asdmw","Asdm",0.4
"Asdm","Assp",1.3
"Assp","Dmn",1.5
"Dmn","Wgmo",0.9
"Wgmo","Gpda",2.1
"Gpda","Wp",3.5
"Wp","Vtbr",0.3
"Vtbr","Kv",3.1
"Kv","Ndb",5.5
"Ndb","Bsmz",1.7
"Bsmz","Craw",0.3
"Craw","Crao",1.7
"Crao","Hvsm",1.2
"Hvsm","Hvs",1.3
"Hvs","Brn",7.3
"Brn","Brna",0.8
"Brna","Amfga",6.4
"Amfga","Amf",1.5
"Amf","Ama",2.3
"Ama","Hvl",4.5
"Hvl","Bnva",9.3
"Bnva","Sto",7.4
"Sto","Apd",20
"Apd","Apda",0.9
"Apda","Apdo",1.8
"Dv","Dvge",0.8
"Dvge","Dvgea",0.7
"Dvgea","Spa",1.2
"Spa","Dvc",1.4
"Rsn","Wdn",7.7
"Wdn","Aml",4.7
"Aml","Amri",1.9
"Amri","Aml",1.9
"Aml","Wdn",4.7
"Wdn","Rsn",7.7
"Dvc","Spa",1.4
"Spa","Dvgea",1.2
"Dvgea","Dv",1.5
"Apdo","Apda",1.8
"Apda","Apd",0.9
"Apd","Sto",20
"Sto","Bnva",7.4
"Bnva","Hvl",9.3
"Hvl","Ama",4.5
"Ama","Amf",2.3
"Amf","Amfga",1.5
"Amfga","Brna",6.4
"Brna","Brn",0.8
"Brn","Hvs",7.3
"Hvs","Hvsm",1.3
"Hvsm","Crao",1.2
"Crao","Craw",1.7
"Craw","Bsmz",0.3
"Bsmz","Ndb",1.7
"Ndb","Kv",5.5
"Kv","Vtbr",3.1
"Vtbr","Wp",0.3
"Wp","Gpda",3.5
"Gpda","Wgmo",2.1
"Wgmo","Dmn",0.9
"Dmn","Assp",1.5
"Assp","Asdm",1.3
"Asdm","Asdmw",0.4
"Asdmw","Asdma",0.5
"Asdma","Dgok",1.2
"Dgok","Dgrw",0.7
"Ut","Utwa",1.4
"Utwa","Utlr",1.9
"Utlr","Utt",1.7
"Utt","Vtn",2.1
"Vtn","Hmlva",2.5
"Hmlva","Hmla",2.2
"Hmla","Wd",4
"Wd","Wdo",1.8
"Wdo","Odo",5.4
"Odo","Odw",1
"Odw","Gdg",5.7
"Gdg","Gd",2.4
"Gd","Hgwbr",1.6
"Hgwbr","Mda",1.1
"Mda","Mdo",1.2
"Mdo","Nwki",3.9
"Nwki","Nwk",1.3
"Nwk","Cps",2.7
"Cps","Rta",2.1
"Rta","Rtngo",1.6
"Rtngo","Rtngw",1.9
"Rtngw","Rtn",1.5
"Rtn","Hlba",0.8
"Hlba","Az",0.7
"Az","Wspl",1.6
"Wspl","Rtd",1.6
"Gn","Gerp",1.7
"Gerp","Gnl",0.7
"Gnl","Hrn",3.2
"Hrn","Onn",1.1
"Onn","Onz",3
"Onz","Asn",17.9
"Asn","Bl",15.6
"Bl","Vama",9.6
"Vama","Hgv",4.4
"Hgv","Kg",11.4
"Kg","Mpa",7.9
"Mpa","Mp",0.6
"Mp","Ddv",12.5
"Ddv","Hea",10.8
"Hea","Zlgea",2.8
"Zlgea","Zl",1.1
"Zl","Zlptta",1.2
"Zlptta","Zlra",0.8
"Zlra","Htba",1.7
"Hde","Ns",8.6
"Ns","Hd",12.1
"Hd","Eml",4.5
"Eml","Pt",4.8
"Pt","Nkk",7.5
"Nkk","Avat",5.3
"Avat","Amfs",2.9
"Amfs","Ama",1
"Amf","Amfva",1.8
"Amfva","Dld",7.4
"Dld","Bhv",2.8
"Bhv","Bloa",3.2
"Bloa","Uto",2.7
"Zl","Zlgea",1.1
"Zlgea","Hea",2.8
"Hea","Ddv",10.8
"Ddv","Mp",12.5
"Mp","Mpa",0.6
"Mpa","Kg",7.9
"Kg","Hgv",11.4
"Hgv","Vama",4.4
"Vama","Bl",9.6
"Bl","Asn",15.6
"Asn","Onz",17.9
"Onz","Onn",3
"Onn","Hrn",1.1
"Hrn","Gnl",3.2
"Gnl","Gerp",0.7
"Gerp","Gn",1.7
"Rtd","Wspl",1.6
"Wspl","Az",1.6
"Az","Hlba",0.7
"Hlba","Rtn",0.8
"Rtn","Rtngw",1.5
"Rtngw","Rtngo",1.9
"Rtngo","Rta",1.6
"Rta","Cps",2.1
"Cps","Nwk",2.7
"Nwk","Nwki",1.3
"Nwki","Mdo",3.9
"Mdo","Hgwbr",2.3
"Hgwbr","Gd",1.6
"Gd","Gdg",2.4
"Gdg","Odw",5.7
"Odw","Odo",1
"Odo","Wdo",5.4
"Wdo","Wd",1.8
"Wd","Hmla",4
"Hmla","Hmlva",2.2
"Hmlva","Vtn",2.5
"Vtn","Utt",2.1
"Utt","Utlr",1.7
"Utlr","Utwa",1.9
"Utwa","Ut",1.4
"Uto","Bloa",2.7
"Bloa","Bhv",3.2
"Bhv","Dld",2.8
"Dld","Amfva",7.4
"Amfva","Amf",1.8
"Ama","Amfs",1
"Amfs","Avat",2.9
"Avat","Nkk",5.3
"Nkk","Pt",7.5
"Pt","Eml",4.8
"Eml","Hd",4.5
"Hd","Ns",12.1
"Ns","Hde",8.6
"Htba","Zlra",1.7
"Zlra","Zl",2.1
"Lw","Hrmk",2
"Hrmk","Gw",11.1
"Bobr","Akm",0.4
"Wv","Swk",12.3
"Swk","Smvrt",10.5
"Smvrt","Mpa",3
"Swk","Wv",12.3
"Hr","Brdl",7.2
"Brdl","Akm",3.5
"Akm","Bobr",0.4
"Gw","Hrmk",11.1
"Hrmk","Lw",2
"Shl","Hfd",4.7
"Hfd","Hfdm",0.5
"Hfdm","Nvp",4.9
"Ledn","Vkbr",2.1
"Vkbr","Dvnk",0.7
"Dvnk","Vst",2.7
"Vst","Gvm",5.9
"Gvm","Laa",2.4
"Laa","Gvc",1.6
"Htba","Kpzhtb",5.1
"Kpzhtb","Kpnzoo",5.1
"Kpnzoo","Kpnz",1.3
"Kpnz","Kpnzow",2.4
"Kpnzow","Drokpz",5.9
"Drokpz","Dron",5.3
"Dron","Stbdro",8.6
"Stbdro","Stb",2.9
"Stb","Llsstb",2.9
"Llsstb","Llsoa",4.3
