Location	Day	TrainIn	TrainOut
Ah	1	3120	3120
Ah	1	3124	3124
Ah	1	3024	3024
Ah	1	3130	3130
Ah	1	3132	3132
Ah	1	3032	3032
Ah	1	3134	3134
Ah	1	3034	3034
Ah	1	3136	3136
Ah	1	3036	3036
Ah	1	3138	3138
Ah	1	3042	3042
Ah	1	3144	3144
Ah	1	3146	3146
Ah	1	3148	3148
Ah	1	3150	3150
Ah	1	3152	3152
Ah	1	3054	3054
Ah	1	3056	3056
Ah	1	3162	3162
Ah	1	3066	3066
Ah	1	3168	3168
Ah	1	3068	3068
Alm	1	2665	72665
Amf	1	1531	1534
Amf	1	1535	88545
Amf	1	88564	1554
Amf	1	88568	1558
Amf	1	15887	88503
Amr	1	4008	4819
Amr	1	3023	3023
Amr	1	3025	3025
Amr	1	3027	3027
Amr	1	829	829
Amr	1	3016	3016
Amr	1	818	818
Amr	1	3033	3033
Amr	1	822	837
Amr	1	3024	3024
Amr	1	826	841
Amr	1	3026	3026
Amr	1	830	845
Amr	1	3030	3030
Amr	1	3032	3032
Amr	1	3034	3034
Amr	1	3059	3059
Amr	1	3061	3061
Amr	1	865	865
Amr	1	852	852
Amr	1	3065	3065
Amr	1	3052	3052
Amr	1	867	867
Amr	1	3067	3067
Amr	1	3058	3058
Amr	1	3062	3062
Amr	1	74871	88421
Amr	1	77464	4872
Asd	1	80826	4606
Asd	1	70105	105
Asd	1	820	820
Asd	1	2118	2137
Asd	1	2245	2242
Asd	1	2142	2161
Asd	1	857	857
Asd	1	861	861
Asd	1	2160	2179
Asd	1	2166	2185
Asd	1	2277	2274
Aswpl	1	80825	80826
Brusz	1	9310	9310
Brusz	1	9309	9309
Brusz	1	9322	9322
Brusz	1	9328	9328
Brusz	1	9339	9339
Brusz	1	9351	9351
Brusz	1	9370	9370
Brusz	1	9376	9376
Ddr	1	5117	5012
Ddr	1	80406	2412
Ddr	1	2206	2414
Ddr	1	2423	2418
Ddr	1	2425	2420
Ddr	1	2427	2422
Ddr	1	2429	2424
Ddr	1	2431	2426
Ddr	1	2433	2428
Ddr	1	2437	2432
Ddr	1	2439	2434
Ddr	1	2455	2450
Ddr	1	2457	2452
Ddr	1	2461	2456
Ddr	1	2469	2464
Ddr	1	2471	2466
Ddr	1	2473	2468
Ddr	1	2483	80403
Ddr	1	2487	80405
Dv	1	1525	1530
Dv	1	1727	1727
Dv	1	1731	1731
Dv	1	1734	1734
Dv	1	1633	1633
Dv	1	1636	1636
Dv	1	1644	1644
Dv	1	1751	1751
Dv	1	1653	1653
Dv	1	1656	1656
Dv	1	1755	1755
Dv	1	1758	1758
Dv	1	1660	1660
Dv	1	1763	1763
